matchup,subject,knowledge_level,own,confidence,meta,actual
UTA @ GSW,2,4,0,0.9,0.45,0
UTA @ GSW,3,4,1,0.7,0.95,0
UTA @ GSW,4,1,1,0.5,0.5,0
UTA @ GSW,5,2,1,0.6,0.7,0
UTA @ GSW,6,5,0,0.8,0.8,0
UTA @ GSW,7,3,0,0.7,0.7,0
UTA @ GSW,8,2,1,0.95,0.85,0
UTA @ GSW,9,2,0,0.9,0.95,0
UTA @ GSW,10,3,0,0.8,0.6,0
UTA @ GSW,11,3,0,0.75,0.9,0
UTA @ GSW,12,3,0,1,1,0
UTA @ GSW,13,3,1,1,0.9,0
UTA @ GSW,14,1,1,1,1,0
UTA @ GSW,15,3,1,1,1,0
UTA @ GSW,16,1,0,0.9,0.8,0
UTA @ GSW,17,3,0,0.7,0.7,0
UTA @ GSW,18,4,1,0.7,0.6,0
UTA @ GSW,19,3,0,0.55,0.6,0
UTA @ GSW,20,4,0,0.9,0.9,0
UTA @ GSW,21,3,0,0.95,1,0
UTA @ GSW,22,1,0,0.7,0.7,0
UTA @ GSW,23,3,1,0.8,0.9,0
UTA @ GSW,24,3,0,1,0.79,0
UTA @ GSW,25,5,0,0.9,0.88,0
SAC @ DET,1,2,1,0.4,0.5,1
SAC @ DET,2,4,1,0.55,0.7,1
SAC @ DET,3,4,1,0.7,0.5,1
SAC @ DET,4,1,1,0.5,0.5,1
SAC @ DET,5,2,0,0.45,0.3,1
SAC @ DET,6,5,0,0.7,0.4,1
SAC @ DET,7,3,1,0.5,0.6,1
SAC @ DET,8,2,0,0.85,0.8,1
SAC @ DET,9,2,0,0.6,0.6,1
SAC @ DET,10,3,0,0.8,0.6,1
SAC @ DET,11,3,1,0.5,0.5,1
SAC @ DET,12,3,0,0.5,0.5,1
SAC @ DET,13,3,0,0.85,0.7,1
SAC @ DET,14,1,0,0.8,0.7,1
SAC @ DET,15,3,1,0.9,0.8,1
SAC @ DET,16,1,0,0.7,0.67,1
SAC @ DET,17,3,1,0.7,0.7,1
SAC @ DET,18,4,0,0.6,0.6,1
SAC @ DET,19,3,0,0.5,0.5,1
SAC @ DET,20,4,1,0.6,0.7,1
SAC @ DET,21,3,1,0.65,0.5,1
SAC @ DET,22,1,1,0.5,0.5,1
SAC @ DET,23,3,1,0.8,0.8,1
SAC @ DET,24,3,1,0.7,0.7,1
SAC @ DET,25,5,0,0.6,0.45,1
MEM @ BOS,1,2,1,0.4,0.5,1
MEM @ BOS,2,4,1,0.9,0.8,1
MEM @ BOS,3,4,1,0.8,0.75,1
MEM @ BOS,4,1,1,0.5,0.5,1
MEM @ BOS,5,2,1,0.2,0.6,1
MEM @ BOS,6,5,1,0.7,0.6,1
MEM @ BOS,7,3,1,0.75,0.7,1
MEM @ BOS,8,2,1,0.8,0.8,1
MEM @ BOS,9,2,1,0.7,0.7,1
MEM @ BOS,10,3,1,1,0.8,1
